sku,nombre,regular,tecnico,cananea,mayoreo_menos,mayoreo_mas,notas
1099,BOMBA COMPLETA MODERNA SAMSUNG ORG.,750.00,670.00,,640.00,590.00,sin_decimal_para_cananea
3363394V,BOMBA DE AGUA ENS. WH AC. ORG.,380.00,350.00,265.97,330.00,265.97,
7503033971215,BOMBA DE AGUA ENS. WHG,138.86,,138.86,,138.86,un_solo_precio_distinto
394,BOMBA GENERICA LG GEN.,480.00,430.00,370.01,395.00,370.01,
350365,BOMBA LAV. WH. 2 SALIDAS ANTIGUA 350365,1550.00,1370.00,825.30,1185.00,825.30,
1983,BOMBA MY DOS BANDAS GEN,750.00,660.00,,575.00,399.00,sin_decimal_para_cananea
7503033971338,BOMBA P/AMANA,181.49,,181.49,,181.49,un_solo_precio_distinto
60,BOMBA P/LAV. FRG.,213.16,,213.16,,213.16,un_solo_precio_distinto
632,BOMBA PLANA MY,260.66,,260.66,,260.66,un_solo_precio_distinto
1164,BOMBA UNIFICADA MABE 35W CONECTOR ENFRENTE,450.00,400.00,239.95,345.00,239.95,
1503,BOTON DE TARJETA CONTROL WH,90.00,0.00,,90.00,0.00,sin_decimal_para_cananea
817,BOTON INICIO PAUSA MBK 02,53.00,,,,53.00,un_solo_precio_distinto;sin_decimal_para_cananea
W10251309,BOTON INICIO WH DIG ORG. GRIS,190.00,170.00,102.73,145.00,102.73,
814,BOTON PAUSA/INICIO MBK 01,60.00,45.00,,45.00,0.00,sin_decimal_para_cananea
131862900,BRAZO TENSOR BANDA LAV WW O.,300.00,0.00,,300.00,0.00,sin_decimal_para_cananea
7503033971253,BRAZO TENSOR WW GEN,300.00,260.00,186.36,230.00,186.36,
8546462,BUJE CON CEJA WH ORG,39.32,,39.32,,39.32,un_solo_precio_distinto
2141,BUJE CON CEJA WH. GEN.,30.46,,30.46,,30.46,un_solo_precio_distinto
29,BUJE CON HOMBRO GRANDE MBOL,14.05,,14.05,,14.05,un_solo_precio_distinto
28,BUJE CON HOMBRO MBOL CHICO,30.00,0.00,,30.00,0.00,sin_decimal_para_cananea
2011,BUJE DE ESTATOR LG 4413ER1001C,420.00,340.00,109.87,250.00,109.87,
524,BUJE INFERIOR MB,25.00,15.00,,15.00,0.00,sin_decimal_para_cananea
150,BUJE INOX. TRANSMISION WH,65.00,50.00,,45.00,32.00,sin_decimal_para_cananea
892,BUJE LARGO P/POSTE WH ACOP.,30.00,13.14,13.14,30.00,13.14,
1424,BUJE POSTE INF. MBOL.,25.00,15.00,,15.00,0.00,sin_decimal_para_cananea
27,BUJE POSTE SUP. MBOL,9.70,,9.70,,9.70,un_solo_precio_distinto
210,BUJE TINA MBFRD,82.26,,82.26,,82.26,un_solo_precio_distinto
883049555751,BUJES Y SELLOS MY ANTIGUA,900.00,,,,900.00,un_solo_precio_distinto;sin_decimal_para_cananea
1804,CAJA TRANS KRAKEN GRANDE,160.00,130.00,89.32,110.00,89.32,
505,CAJA TRANS. MBAM,41.22,,41.22,,41.22,un_solo_precio_distinto
1500,CAJA TRANSMISION CHICA MB KRAKEN,150.00,120.00,,110.00,100.00,sin_decimal_para_cananea
952,CAJA TRANSMISION SOLA WH FLECHA LARGA,160.00,140.00,92.80,110.00,92.80,
1468,CAMBIADOR PARA TRANSMSION LAV MABE,71.37,,71.37,,71.37,un_solo_precio_distinto
1143,CANDADO FLECHA MB AMZ,7.00,0.00,,7.00,0.00,sin_decimal_para_cananea
1884,CANDADO LEVA WH ACOPLADA GEN.,10.84,,10.84,,10.84,un_solo_precio_distinto
w10647949,CANDADO SOPORTE TINA WH DIG. ORG.,50.00,35.00,,35.00,0.00,sin_decimal_para_cananea
2145,CAPACITOR LAV MABE ORG. 45UF,240.00,185.00,85.15,140.00,85.15,
1395,CAPACITOR LAV MABE ORG. 50 UF 228C1259003,220.00,190.00,63.21,160.00,63.21,
32,CAPACITOR P/MOTOR WH LAVADORA 45UF,279.97,,279.97,,279.97,un_solo_precio_distinto
1133,CAPACITOR WH ORG. 50 UF W10843769,460.00,352.89,352.89,460.00,352.89,
131763302,CERRADURA DELANTERA WW ORG LAVADORA FRONTAL 131763302,130.00,100.00,,90.00,85.00,sin_decimal_para_cananea
131279001,CHAPA CONTRA WW ORG. LAV. FRONTAL 131279001,100.00,80.01,,64.99,55.00,varios_con_decimales
7506240621966,CHUPON UNIVERSAL,45.00,35.00,,35.00,0.00,sin_decimal_para_cananea
2200,CLIP TABLERO LAV. WH.,130.00,120.00,81.35,115.00,81.35,
226,CLUTCH COMPLETO WHG,109.62,,109.62,,109.62,un_solo_precio_distinto
W10759993,CLUTCH ENS. WH KIT POLEA CHICA W10759993,540.00,470.00,283.80,405.00,283.80,
w910010062,CLUTCH ENS. WH KIT W910010062,680.00,635.00,435.75,590.00,435.75,
2134,CLUTCH ENS. WH KIT W910010062 GEN.,450.00,380.00,,340.00,300.00,sin_decimal_para_cananea
2095,CLUTCH LAV WH GEN 6 COJINETES,81.61,,81.61,,81.61,un_solo_precio_distinto
1322,CLUTCH LINING GEN. WH,83.67,,83.67,,83.67,un_solo_precio_distinto
1441,COJINETE DESLIZABLE BLANCO CON OJO MB,20.00,5.79,5.79,20.00,5.79,
1569,COPLE AGITADOR MABE AMAZ GEN,90.00,70.00,43.59,50.00,43.59,
16,COPLE AGITADOR MABE O,90.00,64.99,64.99,60.00,0.00,
232,COPLE AGITADOR MBES AM ORG.,85.42,,85.42,,85.42,un_solo_precio_distinto
1568,COPLE AGITADOR OLIMPIA ORG.,170.00,150.00,,140.00,125.00,sin_decimal_para_cananea
w910010088,COPLE MOTOR REFORZADO WH ORG,54.60,,54.60,,54.60,un_solo_precio_distinto
102,COPLE MOTOR WH REF. GEN,90.00,65.00,31.44,45.00,31.44,
101,COPLE MOTOR WH SIN REFUERZO,23.52,,23.52,,23.52,un_solo_precio_distinto
1445,CRUCETA LAV. LG FRONTAL ORG. 4434ER0002D,974.50,,974.50,,974.50,un_solo_precio_distinto
2196,CRUCETA LAV. LG FRONTAL ORG. 4434ER0003C,1900.00,,,,1900.00,un_solo_precio_distinto;sin_decimal_para_cananea
dc97‑17004e,CRUCETA PARA LAVADORA SAMSUNG FRONTAL DC97‑17004E,3950.00,3650.00,,3380.00,2200.00,sin_decimal_para_cananea
1454,CUBIERTA TINA Y SUSPENSIONES LAV MABE KIT ORIGINAL WW02L00002,880.00,820.00,531.16,765.00,531.16,
3957849,DISCO INDICADOR BLANCO WHIRLPOOL ORG.,590.00,,,,590.00,un_solo_precio_distinto;sin_decimal_para_cananea
220,DISCO INDICADOR MB BLANCO,40.00,30.00,6.26,25.00,6.26,
3957850,DISCO INDICADOR WH ORG. ALMENDRA,550.00,499.99,499.99,480.00,460.00,
8528278,DISPENSADOR AGITADOR WH. 8528278,390.00,190.00,,390.00,190.00,sin_decimal_para_cananea
1277,"DUCTO SECADORA 4"" METRO",45.00,18.46,18.46,45.00,18.46,
1489,ELECTROVALVULA 110V LG 2 ENTRADAS 3 BOBINAS ORG.,1500.00,1300.00,,1300.00,0.00,sin_decimal_para_cananea
1057,ELECTROVALVULA 180° MABE KR ORG. SENCILLA,51.16,,51.16,,51.16,un_solo_precio_distinto
856,ELECTROVALVULA 1ENTR. 3 SAL. MB AMZ,300.00,250.00,,250.00,0.00,sin_decimal_para_cananea
1020,ELECTROVALVULA 2 ENT. 4BOBINAS 3 SAL. MABE KR 233D1386P001,350.00,260.00,,260.00,0.00,sin_decimal_para_cananea
2167,ELECTROVALVULA 2 ENT. 5 SAL. LG GEN. AJU75152603 12V,780.00,690.00,417.58,600.00,417.58,
2132,ELECTROVALVULA 2 ENTR. 2 BOBINAS W11161683,240.77,,240.77,,240.77,un_solo_precio_distinto
w10894041,ELECTROVALVULA 2 ENTR. 3 BOBINAS WH ORG. W10894041,1050.00,925.00,800.01,860.00,800.01,
1721,ELECTROVALVULA 2 ENTRADAS 1 SALIDA LG/ELECTROLUX CE01003 GEN,220.01,200.00,220.01,200.00,180.00,
1836,ELECTROVALVULA 5 BOBINAS LG 5221EA1009H,880.00,820.00,526.15,760.00,526.15,
1056,ELECTROVALVULA 90° MABE KR ORG. SENCILLA,190.00,165.00,,150.00,145.00,sin_decimal_para_cananea
K‑65859,ELECTROVALVULA AMARILLA WH ORG.,290.00,,,,290.00,un_solo_precio_distinto;sin_decimal_para_cananea
1256,ELECTROVALVULA AZUL WH DIG 1 ENTR. 2SAL. W11101591,137.19,,137.19,,137.19,un_solo_precio_distinto
225,ELECTROVALVULA AZUL WH PP,96.23,,96.23,,96.23,un_solo_precio_distinto
w11179275,ELECTROVALVULA BCA. 1 ENTRADA 1 SAL. WH ORG. W11161682,220.00,210.00,96.60,180.00,96.60,
ww01f01651,ELECTROVALVULA CUADRUPLE MABE KR ORG.,690.00,610.00,,525.00,366.00,sin_decimal_para_cananea
W11165546,ELECTROVALVULA CUADRUPLE WH W11165546,660.00,,,,660.00,un_solo_precio_distinto;sin_decimal_para_cananea
1100,ELECTROVALVULA DAEWOO SM GEN. 3BOB. 3 SAL.,320.00,280.00,169.30,245.00,169.30,
1450,ELECTROVALVULA DOBLE KRAKEN EASY 277B2502P00103,148.85,,148.85,,148.85,un_solo_precio_distinto
1601,ELECTROVALVULA DOBLE MABE KR GEN. WW01F01773,440.00,390.00,233.86,335.00,233.86,
1058,ELECTROVALVULA DOBLE MABE KR ORG. 290D1316G009,730.00,645.00,388.55,560.00,388.55,
2208,ELECTROVALVULA LAV DAEWOO 2 ENT.3 SAL. 36154L3G60,480.00,425.00,255.79,365.00,255.79,
40802,ELECTROVALVULA LAV. 2 ENTRADAS 4 BOBINAS DAEWOO,500.00,,,,500.00,un_solo_precio_distinto;sin_decimal_para_cananea
AJU75152601,ELECTROVALVULA LAV. LG 5 BOBINAS. AJU75152601 ORG.,1400.00,1220.00,,1400.00,1220.00,sin_decimal_para_cananea
1549,ELECTROVALVULA LAV. SAMSUNG 3B 2 ENTR. 3 SAL,320.00,143.76,143.76,320.00,143.76,
2267,ELECTROVALVULA LAV. SAMSUNG 5 BOBINAS 110V,830.00,730.00,442.14,635.00,442.14,
1488,ELECTROVALVULA LG 12V 2 ENTRADAS 3 BOBINAS,1900.00,1430.00,,1430.00,0.00,sin_decimal_para_cananea
1840,ELECTROVALVULA LG CUADRUPLE,500.00,420.00,237.51,360.00,237.51,
965,ELECTROVALVULA LG TRIPLE,242.83,,242.83,,242.83,un_solo_precio_distinto
1451,"ELECTROVALVULA MABE 1 ENT, 1 SAL. 180""",44.19,,44.19,,44.19,un_solo_precio_distinto
1320,ELECTROVALVULA MABE 1 ENTRADA 3 SAL. 189D3116P017,219.24,,219.24,,219.24,un_solo_precio_distinto
19,ELECTROVALVULA MB OLIMPIA GEN 175D2937P001.,107.19,,107.19,,107.19,un_solo_precio_distinto
2033,ELECTROVALVULA REF. SAMSUNG ORG. AJU75632504,450.00,380.00,225.36,325.00,225.36,
1773,ELECTROVALVULA ROCIADOR AZUL ROJA RELOJ GEN,267.97,,267.97,,267.97,un_solo_precio_distinto
1774,ELECTROVALVULA ROCIADOR RECTO W10683653 WH GEN,280.14,,280.14,,280.14,un_solo_precio_distinto
W10683653,ELECTROVALVULA ROCIADOR RECTO WHO W10683653,800.00,690.00,455.54,650.00,455.54,
w910010004,ELECTROVALVULA ROCIADOR WH ORG. AZUL ROJA RELOJ W910010004,750.00,650.00,,570.00,399.00,sin_decimal_para_cananea
1059,ELECTROVALVULA ROJA WH DIG. ORG. W11101593,330.00,260.00,,245.00,170.00,sin_decimal_para_cananea
1381,ELECTROVALVULA SAMSUNG 1 ENTRADA 3 SALIDAS AZUL AGUA FRIA DC62‑00266G,188.80,,188.80,,188.80,un_solo_precio_distinto
1758,ELECTROVALVULA SAMSUNG 2 ENT. 3 SAL. DC62‑00266F,570.00,500.00,304.50,430.00,304.50,
