SKU,Nombre,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
809,BALERO ASER 6203 LAVADORA FRONTAL LG,25.86,25.86,0,18.97,0,0,"{""regular"":25.86,""tecnico"":0,""cananea"":18.97,""mayoreo_menos"":0,""mayoreo_mas"":0}"
6203,BALERO NTN 6203,38.79,38.79,38.79,0,0,0,"{""regular"":38.79,""tecnico"":38.79,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2158,BANDA ASPIRADORA 562932001,344.83,344.83,0.86,0,0.86,0,"{""regular"":344.83,""tecnico"":0.86,""cananea"":0,""mayoreo_menos"":0.86,""mayoreo_mas"":0}"
2220,BIDON DESENGRASANTE BLANCO 20 LT,844.83,844.83,844.83,599.57,810.34,0.86,"{""regular"":844.83,""tecnico"":844.83,""cananea"":599.57,""mayoreo_menos"":810.34,""mayoreo_mas"":0.86}"
2221,BOMBA DE AGUA GARRAFON ELECTRICA RECARGABLE,1.72,1.72,1.72,0,0.86,0,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0,""mayoreo_menos"":0.86,""mayoreo_mas"":0}"
405,BOQUILLA ENCENDIDO ELEC. P/GAS,560.34,560.34,517.24,0,0,0,"{""regular"":560.34,""tecnico"":517.24,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1607,BROCA DE ALTA VELODAD 1/4,38.79,38.79,0,0,0,0,"{""regular"":38.79,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1425,BROCA PARA CONCRETO 3/8X12,56.03,56.03,0,45.25,0,0,"{""regular"":56.03,""tecnico"":0,""cananea"":45.25,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2076,BUJE DE HIERRO DIAM 10MM,25.86,25.86,17.24,7.33,12.93,8.62,"{""regular"":25.86,""tecnico"":17.24,""cananea"":7.33,""mayoreo_menos"":12.93,""mayoreo_mas"":8.62}"
2065,BUJE S/CEJA TRASERO MEDIDA BRONCE,77.59,77.59,68.97,40.74,64.66,60.34,"{""regular"":77.59,""tecnico"":68.97,""cananea"":40.74,""mayoreo_menos"":64.66,""mayoreo_mas"":60.34}"
1,CABLES PARA SOLDAR 10 MTS.,625,625,0,0,0,0,"{""regular"":625,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1333,CAJA DE HERRAMIENTAS HUSKY,99.14,99.14,99.14,49.79,99.14,99.14,"{""regular"":99.14,""tecnico"":99.14,""cananea"":49.79,""mayoreo_menos"":99.14,""mayoreo_mas"":99.14}"
1399,CAPACITOR DE ARRANQUE 270 A 324 UF A 110 V.,206.9,206.9,181.03,125.45,168.1,155.17,"{""regular"":206.9,""tecnico"":181.03,""cananea"":125.45,""mayoreo_menos"":168.1,""mayoreo_mas"":155.17}"
1924,CARBON UNIVERSAL,34.48,34.48,30.17,14.49,25.86,21.55,"{""regular"":34.48,""tecnico"":30.17,""cananea"":14.49,""mayoreo_menos"":25.86,""mayoreo_mas"":21.55}"
1935,CARBONES DE PULIDOR C/ZAPATA BOSCH,56.03,56.03,47.41,26.71,43.1,38.79,"{""regular"":56.03,""tecnico"":47.41,""cananea"":26.71,""mayoreo_menos"":43.1,""mayoreo_mas"":38.79}"
1936,CARBONES DE PULIDOR O ESMERIL,68.97,68.97,60.34,34.85,56.03,51.72,"{""regular"":68.97,""tecnico"":60.34,""cananea"":34.85,""mayoreo_menos"":56.03,""mayoreo_mas"":51.72}"
1925,CARBONES PAR COMP 1ERA CALIDAD,38.79,38.79,30.17,16.75,25.86,21.55,"{""regular"":38.79,""tecnico"":30.17,""cananea"":16.75,""mayoreo_menos"":25.86,""mayoreo_mas"":21.55}"
219,CEDAZO Y EMPAQUE PARA MANGUERA JUEGO,21.55,21.55,12.93,0,0,0,"{""regular"":21.55,""tecnico"":12.93,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
309,CENTRO DE CARGA RILEZ 2P,129.31,129.31,107.76,0,30.17,0,"{""regular"":129.31,""tecnico"":107.76,""cananea"":0,""mayoreo_menos"":30.17,""mayoreo_mas"":0}"
1391,CINTA AISLANTE ELECTRICA 18M,17.24,17.24,0,12.92,0,0,"{""regular"":17.24,""tecnico"":0,""cananea"":12.92,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1653,CINTA ESPUMA COLDTECK METRO,94.83,94.83,17.24,0,0,0,"{""regular"":94.83,""tecnico"":17.24,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
151,CINTA GRIS 40MM,94.83,94.83,77.59,60.34,68.97,0,"{""regular"":94.83,""tecnico"":77.59,""cananea"":60.34,""mayoreo_menos"":68.97,""mayoreo_mas"":0}"
307,CODO PVC 1/2,4.31,4.31,0,0,0,0,"{""regular"":4.31,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2128,CONECTOR RAPIDO 1/4 T,25.86,25.86,21.55,8.16,21.55,17.24,"{""regular"":25.86,""tecnico"":21.55,""cananea"":8.16,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2127,CONECTOR RAPIDO 1/4 CODO,34.48,34.48,25.86,5.89,21.55,17.24,"{""regular"":34.48,""tecnico"":25.86,""cananea"":5.89,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2131,CONECTOR RAPIDO 5/16 T,43.1,43.1,38.79,0,38.79,0,"{""regular"":43.1,""tecnico"":38.79,""cananea"":0,""mayoreo_menos"":38.79,""mayoreo_mas"":0}"
2129,CONECTOR REDUCCION 1/4 - 5/16 RECTO,189.66,189.66,0,19.82,0,0,"{""regular"":189.66,""tecnico"":0,""cananea"":19.82,""mayoreo_menos"":0,""mayoreo_mas"":0}"
866,CUBRE BOCAS AZUL,8.62,8.62,0,0,0,0,"{""regular"":8.62,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1421,DADO MAGNETICO HEXAGONAL TRUPER 1/4,17.24,17.24,0,11.55,0,0,"{""regular"":17.24,""tecnico"":0,""cananea"":11.55,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1420,DADO MAGNETICO HEXAGONAL TRUPER 5/16,17.24,17.24,0,12.87,0,0,"{""regular"":17.24,""tecnico"":0,""cananea"":12.87,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1414,DESENGRASANTE 1 LT,51.72,51.72,34.48,0,0,0,"{""regular"":51.72,""tecnico"":34.48,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2008,DIODO RECTIFICADOR PARA MICROONDAS,21.55,21.55,17.24,0,12.93,8.62,"{""regular"":21.55,""tecnico"":17.24,""cananea"":0,""mayoreo_menos"":12.93,""mayoreo_mas"":8.62}"
2242,DOBLADOR DE TUBOS 180° 3/16-3/8 GB,138.6,138.6,17.24,15,17.24,12.93,"{""regular"":138.6,""tecnico"":17.24,""cananea"":15,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2239,EQUIPO PORTATIL PARA SOLDAR Y CORTAR CON ADAPTADOR GB,672.41,672.41,474.14,568.97,0,0,"{""regular"":672.41,""tecnico"":474.14,""cananea"":568.97,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2309,EXPANSOR DE TUBO UNIVERSAL TIPO PINZA GB,86.21,86.21,73.28,0,0,0,"{""regular"":86.21,""tecnico"":73.28,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1986,FLOTADOR SENSOR DE DISPENSADOR DE AGUA,366.38,366.38,318.97,293.1,318.97,293.1,"{""regular"":366.38,""tecnico"":318.97,""cananea"":293.1,""mayoreo_menos"":318.97,""mayoreo_mas"":293.1}"
2074,"FUSIBLE 5A, 220V",21.55,21.55,17.24,2.59,12.93,8.62,"{""regular"":21.55,""tecnico"":17.24,""cananea"":2.59,""mayoreo_menos"":12.93,""mayoreo_mas"":8.62}"
1941,"FUSIBLE TERMICO 10A, 250V, 240C",25.86,25.86,21.55,4.08,17.24,12.93,"{""regular"":25.86,""tecnico"":21.55,""cananea"":4.08,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
1942,FUSIBLE TERMICO 117C,25.86,25.86,17.24,3.17,12.93,8.62,"{""regular"":25.86,""tecnico"":17.24,""cananea"":3.17,""mayoreo_menos"":12.93,""mayoreo_mas"":8.62}"
2253,FUSIBLE TERMICO 5A 150C 240V,184,184,181.03,180.2,0,0,"{""regular"":184,""tecnico"":181.03,""cananea"":180.2,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1502,GENERADOR DE FRECUENCIA PWM,146.55,146.55,146.55,34.48,146.55,34.48,"{""regular"":146.55,""tecnico"":146.55,""cananea"":34.48,""mayoreo_menos"":146.55,""mayoreo_mas"":34.48}"
1938,JGO CARBONES MD. CUBE 1ERA CALIDAD,83.62,83.62,0,68.97,0,0,"{""regular"":83.62,""tecnico"":0,""cananea"":68.97,""mayoreo_menos"":0,""mayoreo_mas"":0}"
140,JUEGO DE EXPANSORES 5PZ,120.69,120.69,103.45,0,0,0,"{""regular"":120.69,""tecnico"":103.45,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
48129,LAMAPARAS LED TIPO PRUEBA DE VAPOR 40W/65K/3400L SOBREPONER,146.55,146.55,0,137.92,0,0,"{""regular"":146.55,""tecnico"":0,""cananea"":137.92,""mayoreo_menos"":0,""mayoreo_mas"":0}"
227,LIMPIADOR DE SERPEN. COILCLEANER MOR. 1LT,43.1,43.1,43.1,0,43.1,0,"{""regular"":43.1,""tecnico"":43.1,""cananea"":0,""mayoreo_menos"":43.1,""mayoreo_mas"":0}"
228,LIMPIADOR DE SERPENTINES COILCLEANER MOR. GAL.,155.17,155.17,129.31,97.83,0,0,"{""regular"":155.17,""tecnico"":129.31,""cananea"":97.83,""mayoreo_menos"":0,""mayoreo_mas"":0}"
229,LIMPIADOR SERPENTINES ALQUIM 1L ROS.,51.72,51.72,43.1,34.68,0,0,"{""regular"":51.72,""tecnico"":43.1,""cananea"":34.68,""mayoreo_menos"":0,""mayoreo_mas"":0}"
230,LIMPIADOR SERPENTINES ALQUIM GAL. ROS,336.21,336.21,336.21,49.79,104.1,0,"{""regular"":336.21,""tecnico"":336.21,""cananea"":49.79,""mayoreo_menos"":104.1,""mayoreo_mas"":0}"
2073,LLAVE BCA C/BOTON AZUL CUERDA EXT. 3/4,56.03,56.03,51.72,33.5,51.72,47.41,"{""regular"":56.03,""tecnico"":51.72,""cananea"":33.5,""mayoreo_menos"":51.72,""mayoreo_mas"":47.41}"
2071,LLAVE BCA C/PALANCA AZUL CUERDA INT 5/8,137.93,137.93,137.93,0,137.93,0,"{""regular"":137.93,""tecnico"":137.93,""cananea"":0,""mayoreo_menos"":137.93,""mayoreo_mas"":0}"
2072,LLAVE BCA C/PALANCA ROJA CUERDA EXT. 3/4,77.59,77.59,68.97,43,64.66,60.34,"{""regular"":77.59,""tecnico"":68.97,""cananea"":43,""mayoreo_menos"":64.66,""mayoreo_mas"":60.34}"
10020,LLAVERO CON ADAPTADORES PARA PUNTAS 6,43.1,43.1,38.79,0,34.48,0,"{""regular"":43.1,""tecnico"":38.79,""cananea"":0,""mayoreo_menos"":34.48,""mayoreo_mas"":0}"
313,MALLA REF. IMPERMEABILIZANTE METRO,103.45,103.45,8.62,0,6.9,0,"{""regular"":103.45,""tecnico"":8.62,""cananea"":0,""mayoreo_menos"":6.9,""mayoreo_mas"":0}"
2280,MANUAL OPERATIVO REFRIGERADORES Y ESTUFAS WHIRPOOL,94.83,94.83,94.83,62.46,73.28,0,"{""regular"":94.83,""tecnico"":94.83,""cananea"":62.46,""mayoreo_menos"":73.28,""mayoreo_mas"":0}"
242,METRO CABLE USO RUDO 3X14,30.17,30.17,27.59,0,27.59,0,"{""regular"":30.17,""tecnico"":27.59,""cananea"":0,""mayoreo_menos"":27.59,""mayoreo_mas"":0}"
1838,MULTIMETRO DIGITAL DE GANCHO CON MEDIDOR DE CAPACITANCIA,801.72,801.72,741.38,560.62,689.66,0.86,"{""regular"":801.72,""tecnico"":741.38,""cananea"":560.62,""mayoreo_menos"":689.66,""mayoreo_mas"":0.86}"
1879,OSMOSIS INVERSA 100 GAL 6 ETAPASUV BOMBA TANQUE,4.31,4.31,3.45,2.59,3.45,3.45,"{""regular"":4.31,""tecnico"":3.45,""cananea"":2.59,""mayoreo_menos"":3.45,""mayoreo_mas"":3.45}"
1392,PEGAMENTO EPOXICO ALUMINIO,103.45,103.45,86.21,64.66,68.97,64.66,"{""regular"":103.45,""tecnico"":86.21,""cananea"":64.66,""mayoreo_menos"":68.97,""mayoreo_mas"":64.66}"
1971,PINZAS DE MICRO CORTE ELECTRONICA,68.97,68.97,51.72,19.04,51.72,51.72,"{""regular"":68.97,""tecnico"":51.72,""cananea"":19.04,""mayoreo_menos"":51.72,""mayoreo_mas"":51.72}"
1490,PINZAS DE PRESION HASTA 5/16,275.86,275.86,232.76,129.16,206.9,185.34,"{""regular"":275.86,""tecnico"":232.76,""cananea"":129.16,""mayoreo_menos"":206.9,""mayoreo_mas"":185.34}"
1419,PUNTA ESTRELLA P/TALADRO PH2 3 PZ,21.55,21.55,21.55,0,0,0,"{""regular"":21.55,""tecnico"":21.55,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2230,PUNTA POOL 6 CMS 312063,0.86,0.86,0.86,854.71,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":854.71,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
2107,REGULADOR DE VOLTAJE 2000W,77.59,77.59,60.34,56.03,60.34,60.34,"{""regular"":77.59,""tecnico"":60.34,""cananea"":56.03,""mayoreo_menos"":60.34,""mayoreo_mas"":60.34}"
1429,SARRICIDA 1 LT,25.86,25.86,0,0,0,0,"{""regular"":25.86,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1405,SOLDADURA,51.72,51.72,0,0,0,0,"{""regular"":51.72,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1995,SOLDADURA C/FUNDENTE AZUL,64.66,64.66,51.72,30.46,43.1,38.79,"{""regular"":64.66,""tecnico"":51.72,""cananea"":30.46,""mayoreo_menos"":43.1,""mayoreo_mas"":38.79}"
456654,SOLDADURA DE ALUMNIO,34.48,34.48,30.25,30,0,0,"{""regular"":34.48,""tecnico"":30.25,""cananea"":30,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1364,SOLVENTE DIELECTRICO PARA LIMPIEZA DE EQUIPO ELECTRONICO,215.52,215.52,202.59,161.84,189.66,189.66,"{""regular"":215.52,""tecnico"":202.59,""cananea"":161.84,""mayoreo_menos"":189.66,""mayoreo_mas"":189.66}"
162,SWITCH COLA DE RATA 1 PASO 6A 110V,47.41,47.41,30.17,0,0,0,"{""regular"":47.41,""tecnico"":30.17,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1223,TANQUE DE GAS AMARILLO CB,29.31,29.31,29.31,17.24,29.31,17.24,"{""regular"":29.31,""tecnico"":29.31,""cananea"":17.24,""mayoreo_menos"":29.31,""mayoreo_mas"":17.24}"
2004,TERMICO 2 POLOS 20 AMPS,0,0,0,155.57,0,0,"{""regular"":0,""tecnico"":0,""cananea"":155.57,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1042,TERMINAL ENCHUFE HEMBRA AMARILLA,1.72,1.72,1.72,0,0,0,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
811,TERMINAL ENCHUFE HEMBRA AZUL,1.72,1.72,1.72,0,0,0,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1538,TERMINAL ENCHUFE MACHO AZUL,56.03,56.03,1.72,0,0,0,"{""regular"":56.03,""tecnico"":1.72,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1658,TERMOFIT 328PZ KIT 8 TAM. TERMOCONTRACTIL,68.97,68.97,51.72,0,0,0,"{""regular"":68.97,""tecnico"":51.72,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1638,TORNILLO PARA TAQUETE 1/4 PZ,0.86,0.86,0,0,0,0,"{""regular"":0.86,""tecnico"":0,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2436,TORNILLO PUNTA DE BROCA 1-1/4 SUELTO,95.68,95.68,0,0.69,0,0,"{""regular"":95.68,""tecnico"":0,""cananea"":0.69,""mayoreo_menos"":0,""mayoreo_mas"":0}"
44406,TORNILLO PUNTA DE BROCA 1 HEXAGONAL SUELTO,1.29,1.29,0,1.12,0,0,"{""regular"":1.29,""tecnico"":0,""cananea"":1.12,""mayoreo_menos"":0,""mayoreo_mas"":0}"
3450,TORNILLO PUNTA DE BROCA 1/2 ESTRELLA SUELTO,43.09,43.09,0,0.6,0,0,"{""regular"":43.09,""tecnico"":0,""cananea"":0.6,""mayoreo_menos"":0,""mayoreo_mas"":0}"
44647,TORNILLO PUNTA DE BROCA ESTRELLA 1 SUELTO,0,0,0,0.43,0,0,"{""regular"":0,""tecnico"":0,""cananea"":0.43,""mayoreo_menos"":0,""mayoreo_mas"":0}"
609,TUBO TERMORETRACTIL 3/8 METRO,21.55,21.55,17.24,2.59,17.24,17.24,"{""regular"":21.55,""tecnico"":17.24,""cananea"":2.59,""mayoreo_menos"":17.24,""mayoreo_mas"":17.24}"
1960,VALVULA DE ENTRADA DE AGUA PARA LAVADORA SPEED QUEEN SUSTITUTO DE NO. PARTE: 33090167H,646.55,646.55,629.31,359.1,603.45,483,"{""regular"":646.55,""tecnico"":629.31,""cananea"":359.1,""mayoreo_menos"":603.45,""mayoreo_mas"":483}"
334,ACEITE P/BOMBA DE VACIO 1LT,198.28,198.28,178.64,153.84,0,0,"{""regular"":198.28,""tecnico"":178.64,""cananea"":153.84,""mayoreo_menos"":0,""mayoreo_mas"":0}"
332,ACEITE REFRIG. TX SW32,370.69,370.69,327.59,0,125,0,"{""regular"":370.69,""tecnico"":327.59,""cananea"":0,""mayoreo_menos"":125,""mayoreo_mas"":0}"
2140,ADAPTADOR R410 P/MANOMETRO 1/4 A 5/16,86.21,86.21,51.72,18.91,43.1,34.48,"{""regular"":86.21,""tecnico"":51.72,""cananea"":18.91,""mayoreo_menos"":43.1,""mayoreo_mas"":34.48}"
396,ADAPTADOR R410 P/MANOMETRO MACHO,86.21,86.21,51.72,32.5,43.1,0,"{""regular"":86.21,""tecnico"":51.72,""cananea"":32.5,""mayoreo_menos"":43.1,""mayoreo_mas"":0}"
2318,ADAPTADOR R410 P/MANOMETRO MACHO GB,474.14,474.14,370.69,50.41,0,0,"{""regular"":474.14,""tecnico"":370.69,""cananea"":50.41,""mayoreo_menos"":0,""mayoreo_mas"":0}"
302,BOMBA P/COOLER MODELO B-72,798,798,327.59,588,0,0,"{""regular"":798,""tecnico"":327.59,""cananea"":588,""mayoreo_menos"":0,""mayoreo_mas"":0}"
246,CABLE SEÑAL 4MTS. 4X14AWG,775.86,775.86,110,102,0,0,"{""regular"":775.86,""tecnico"":110,""cananea"":102,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2245,CAPACITOR 1 UF SOLDABLE,38.79,38.79,25.86,7.09,25.86,21.55,"{""regular"":38.79,""tecnico"":25.86,""cananea"":7.09,""mayoreo_menos"":25.86,""mayoreo_mas"":21.55}"
2244,CAPACITOR 5 UF SOLDABLE,43.1,43.1,30.17,10.89,30.17,25.86,"{""regular"":43.1,""tecnico"":30.17,""cananea"":10.89,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
34,CAPACITOR CUADRADO 1.5MFD,34.48,34.48,25.86,5.56,0,0,"{""regular"":34.48,""tecnico"":25.86,""cananea"":5.56,""mayoreo_menos"":0,""mayoreo_mas"":0}"
31,CAPACITOR CUADRADO 2.5 UF,51.72,51.72,38.79,0,30.17,21.55,"{""regular"":51.72,""tecnico"":38.79,""cananea"":0,""mayoreo_menos"":30.17,""mayoreo_mas"":21.55}"
2274,CAPACITOR DE ARRANQUE 161-193 UF 110V,181.03,181.03,172.41,28.53,0,0,"{""regular"":181.03,""tecnico"":172.41,""cananea"":28.53,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1401,CAPACITOR DE ARRANQUE 400 A 480 MDF A 220 VAC,181.03,181.03,146.55,51.98,129.31,120.69,"{""regular"":181.03,""tecnico"":146.55,""cananea"":51.98,""mayoreo_menos"":129.31,""mayoreo_mas"":120.69}"
316,CAPACITOR DE TRABAJO 10UF CUADRADO,51.72,51.72,25.86,11.92,0,0,"{""regular"":51.72,""tecnico"":25.86,""cananea"":11.92,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1365,CAPACITOR DE TRABAJO 15UF 440V ALUMINIO,77.59,77.59,68.97,30.45,56.03,43.1,"{""regular"":77.59,""tecnico"":68.97,""cananea"":30.45,""mayoreo_menos"":56.03,""mayoreo_mas"":43.1}"
877,CAPACITOR DE TRABAJO 15UF CUADRADO,60.34,60.34,34.48,15.13,0,0,"{""regular"":60.34,""tecnico"":34.48,""cananea"":15.13,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1366,CAPACITOR DE TRABAJO 20UF 440V ALUMINIO,86.21,86.21,77.59,42.74,68.97,60.34,"{""regular"":86.21,""tecnico"":77.59,""cananea"":42.74,""mayoreo_menos"":68.97,""mayoreo_mas"":60.34}"
314,CAPACITOR DE TRABAJO 25 UF 440V,112.07,112.07,103.45,35,90.52,81.9,"{""regular"":112.07,""tecnico"":103.45,""cananea"":35,""mayoreo_menos"":90.52,""mayoreo_mas"":81.9}"
2049,CAPACITOR DE TRABAJO 30+6UF 440V,146.55,146.55,129.31,48.95,120.69,103.45,"{""regular"":146.55,""tecnico"":129.31,""cananea"":48.95,""mayoreo_menos"":120.69,""mayoreo_mas"":103.45}"
49,CAPACITOR DE TRABAJO 35UF A 440 V,129.31,129.31,99.14,52.98,0,0,"{""regular"":129.31,""tecnico"":99.14,""cananea"":52.98,""mayoreo_menos"":0,""mayoreo_mas"":0}"
50,CAPACITOR DE TRABAJO 40UF A 440V,137.93,137.93,120.69,50.4,112.07,103.45,"{""regular"":137.93,""tecnico"":120.69,""cananea"":50.4,""mayoreo_menos"":112.07,""mayoreo_mas"":103.45}"
51,CAPACITOR DE TRABAJO 45UF A 440V,155.17,155.17,120.69,73.4,0,0,"{""regular"":155.17,""tecnico"":120.69,""cananea"":73.4,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2219,CAPACITOR DE TRABAJO 5 UF REDONDO,163.79,163.79,163.79,18.38,0,0,"{""regular"":163.79,""tecnico"":163.79,""cananea"":18.38,""mayoreo_menos"":0,""mayoreo_mas"":0}"
844,CAPACITOR DE TRABAJO 50+5UF D.,215.52,215.52,129.31,53.56,0,0,"{""regular"":215.52,""tecnico"":129.31,""cananea"":53.56,""mayoreo_menos"":0,""mayoreo_mas"":0}"
507,CAPACITOR DE TRABAJO 60MFD 370V,163.79,163.79,146.55,61.97,0,0,"{""regular"":163.79,""tecnico"":146.55,""cananea"":61.97,""mayoreo_menos"":0,""mayoreo_mas"":0}"
944,CAPACITOR DE TRABAJO 7.5UF 370V,77.59,77.59,51.72,16.16,0,0,"{""regular"":77.59,""tecnico"":51.72,""cananea"":16.16,""mayoreo_menos"":0,""mayoreo_mas"":0}"
