SKU,Nombre,Existencia,Categoria,Archivo_origen,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
1364,SOLVENTE DIELECTRICO PARA LIMPIEZA DE EQUIPO ELECTRONICO,-1,ACCESORIOS,ACCESORIOS.xlsx,215.52,215.52,189.66,155.97,189.66,161.84,"{""regular"":215.52,""tecnico"":189.66,""cananea"":155.97,""mayoreo_menos"":189.66,""mayoreo_mas"":161.84}"
1391,CINTA AISLANTE ELECTRICA 18M,-62,ACCESORIOS,ACCESORIOS.xlsx,12.93,12.93,12.93,12.92,0.0,0.0,"{""regular"":12.93,""tecnico"":12.93,""cananea"":12.92,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1392,PEGAMENTO EPOXICO ALUMINIO,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1399,CAPACITOR DE ARRANQUE 270 A 324 UF A 110 V.,33,ACCESORIOS,ACCESORIOS.xlsx,206.9,206.9,181.03,125.45,168.1,155.17,"{""regular"":206.9,""tecnico"":181.03,""cananea"":125.45,""mayoreo_menos"":168.1,""mayoreo_mas"":155.17}"
140,JUEGO DE EXPANSORES 5PZ,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
14045885355,GAS TANQUE AMARILLO TURNER,54,ACCESORIOS,ACCESORIOS.xlsx,189.66,189.66,0.0,110.26,0.0,0.0,"{""regular"":189.66,""tecnico"":0.0,""cananea"":110.26,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1405,SOLDADURA,-218,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1414,DESENGRASANTE 1 LT,-25,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1419,"PUNTA ESTRELLA P/TALADRO PH2 3"" PZ",-29,ACCESORIOS,ACCESORIOS.xlsx,21.55,21.55,21.55,0.0,21.55,0.0,"{""regular"":21.55,""tecnico"":21.55,""cananea"":0.0,""mayoreo_menos"":21.55,""mayoreo_mas"":0.0}"
1420,DADO MAGNETICO HEXAGONAL TRUPER 5/16,-27,ACCESORIOS,ACCESORIOS.xlsx,21.55,21.55,17.24,12.87,0.0,0.0,"{""regular"":21.55,""tecnico"":17.24,""cananea"":12.87,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1421,DADO MAGNETICO HEXAGONAL TRUPER 1/4,18,ACCESORIOS,ACCESORIOS.xlsx,17.24,17.24,11.55,7.07,0.0,0.0,"{""regular"":17.24,""tecnico"":11.55,""cananea"":7.07,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1425,BROCA PARA CONCRETO 3/8X12,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
