sku,nombre,regular_con_IVA,tecnico_con_IVA,cananea_con_IVA,mayoreo_menos_con_IVA,mayoreo_mas_con_IVA,regular_sin_IVA,tecnico_sin_IVA,cananea_sin_IVA,mayoreo_menos_sin_IVA,mayoreo_mas_sin_IVA,nombre_normalizado
7501206675267,"BROCA-SIERRA BIMETALICA 2""",210,160,,,,181.03,137.93,,,,"BROCA-SIERRA BIMETALICA 2"""
7503005496265,"BROCHA  2 1/2""",30,25,20,25,25,25.86,21.55,17.24,21.55,21.55,"BROCHA 2 1/2"""
2076,BUJE DE HIERRO DIAM 10MM,30,20,8.5,15,10,25.86,17.24,7.33,12.93,8.62,BUJE DE HIERRO DIAM 10MM
2065,BUJE S/CEJA TRASERO MEDIDA BRONCE,45,35,17.33,30,25,38.79,30.17,14.94,25.86,21.55,BUJE S/CEJA TRASERO MEDIDA BRONCE
7502309730310,CABLES PARA MULTIMETRO TRUPER,90,80.01,47.26,75.01,69.99,77.59,68.97,40.74,64.66,60.34,CABLES PARA MULTIMETRO TRUPER
1,CABLES PARA SOLDAR 10 MTS.,725,0,,0,0,625,0,,0,0,CABLES PARA SOLDAR 10 MTS.
7506240646730,CAJA APILABLE MEDIANA TRUPER,35,,,,,30.17,,,,,CAJA APILABLE MEDIANA TRUPER
7501206656181,"CAJA DE HERRAMIENTA AMPLIA 22""",245,0,,0,0,211.21,0,,0,0,"CAJA DE HERRAMIENTA AMPLIA 22"""
7501206622834,"CAJA DE HERRAMIENTA REFORZADA 17""",250,238,,0,0,215.52,205.17,,0,0,"CAJA DE HERRAMIENTA REFORZADA 17"""
1333,CAJA DE HERRAMIENTAS HUSKY,4060,0,,0,0,3500,0,,0,0,CAJA DE HERRAMIENTAS HUSKY
7501206661871,"CAJA P/HERRAMIENTA 16"" TRUPER",190,160,,0,0,163.79,137.93,,0,0,"CAJA P/HERRAMIENTA 16"" TRUPER"
7506240654759,"CAMARA LLANTA 10""",90,90,57.76,90,90,77.59,77.59,49.79,77.59,77.59,"CAMARA LLANTA 10"""
7501206672693,CANDADO DE COMBINACION 40MM HERMEX,175,175,115,175,175,150.86,150.86,99.14,150.86,150.86,CANDADO DE COMBINACION 40MM HERMEX
7501206696545,CAPUCHON P/CABLE 10-12 A,30,25,,0,0,25.86,21.55,,0,0,CAPUCHON P/CABLE 10-12 A
7501206696552,CAPUCHONES P/CABLE 12-14 N,25,20,9.46,20,18,21.55,17.24,8.16,17.24,15.52,CAPUCHONES P/CABLE 12-14 N
7501206696569,CAPUCHONES P/CABLE SURTIDO,40,40,,0,0,34.48,34.48,,0,0,CAPUCHONES P/CABLE SURTIDO
1924,CARBON UNIVERSAL PAR,45,40,16.81,35,30,38.79,34.48,14.49,30.17,25.86,CARBON UNIVERSAL PAR
1935,CARBONES DE PULIDOR C/ZAPATA BOSCH,65,55,30.98,50,45,56.03,47.41,26.71,43.1,38.79,CARBONES DE PULIDOR C/ZAPATA BOSCH
1936,CARBONES DE PULIDOR O ESMERIL,80,70,40.43,65,60,68.97,60.34,34.85,56.03,51.72,CARBONES DE PULIDOR O ESMERIL
1925,CARBONES PAR COMP 1ERA CALIDAD,45,35,19.43,30,25,38.79,30.17,16.75,25.86,21.55,CARBONES PAR COMP 1ERA CALIDAD
219,CEDAZO Y EMPAQUE PARA MANGUERA JUEGO,25,20,2.68,15,10,21.55,17.24,2.31,12.93,8.62,CEDAZO Y EMPAQUE PARA MANGUERA JUEGO
7501206662373,CENTRO DE CARGA 2P VOLTECK,150,130,,0,0,129.31,112.07,,0,0,CENTRO DE CARGA 2P VOLTECK
309,CENTRO DE CARGA RILEZ 2P,150,125,,0,0,129.31,107.76,,0,0,CENTRO DE CARGA RILEZ 2P
7506240642848,CEPILLO ALAMBRE PRETUL,45,35,0,35,25.3,38.79,30.17,0,30.17,21.81,CEPILLO ALAMBRE PRETUL
7501206608685,CEPILLO DE ALAMBRE CURVO TRUPER,40,35,19.95,35,23.12,34.48,30.17,17.2,30.17,19.93,CEPILLO DE ALAMBRE CURVO TRUPER
7500012011955,"CEPILLO DE ALAMBRE T. COPA 3""",130,130,,0,0,112.07,112.07,,0,0,"CEPILLO DE ALAMBRE T. COPA 3"""
7506240683513,CEPILLO FLEXIBLE PLASTICO,25,0,,0,0,21.55,0,,0,0,CEPILLO FLEXIBLE PLASTICO
7506240636427,CEPILLO TIPO ESCOBETA,19.99,0,,0,0,17.23,0,,0,0,CEPILLO TIPO ESCOBETA
7506240636403,CEPILLO TIPO PLANCHA,20,20,0,20,20,17.24,17.24,0,17.24,17.24,CEPILLO TIPO PLANCHA
7501206684696,CINCEL SDS PLANO GRUESP TRUPER,150,140,,0,0,129.31,120.69,,0,0,CINCEL SDS PLANO GRUESP TRUPER
876416155289,CINCHO DE PLASTICO 19CM,46.4,0,,0,0,40,0,,0,0,CINCHO DE PLASTICO 19CM
7501206683477,CINCHO DE PLASTICO 20 CM,70,50,,50,50,60.34,43.1,,43.1,43.1,CINCHO DE PLASTICO 20 CM
7501206683491,CINCHO DE PLASTICO 30CM,85,70,,70,70,73.28,60.34,,60.34,60.34,CINCHO DE PLASTICO 30CM
876416155296,CINCHO DE PLASTICO 35CM,46.4,0,,0,0,40,0,,0,0,CINCHO DE PLASTICO 35CM
7501206683996,CINCHO DE PLASTICO 50 CM,58,0,,0,0,50,0,,0,0,CINCHO DE PLASTICO 50 CM
076308925680,CINTA AISLANTE 3M,50,50,35,45,40,43.1,43.1,30.17,38.79,34.48,CINTA AISLANTE 3M
833650307,CINTA AISLANTE E-8000,180,0,,0,0,155.17,0,,0,0,CINTA AISLANTE E-8000
1391,CINTA AISLANTE ELECTRICA 18M,15,15,9.45,15,10.6,12.93,12.93,8.15,12.93,9.14,CINTA AISLANTE ELECTRICA 18M
7501206626610,CINTA AISLANTE ELECTRICA 9M,9,9,,0,0,7.76,7.76,,0,0,CINTA AISLANTE ELECTRICA 9M
20088,"CINTA DE ALUMINIO 3""",290,250,,0,0,250,215.52,,0,0,"CINTA DE ALUMINIO 3"""
655616000045,CINTA DE ALUMINIO FASSON,290,250,,0,0,250,215.52,,0,0,CINTA DE ALUMINIO FASSON
078204320088,"CINTA DE ALUMINIO IDELTAPE 488 3""",395,365,,350,340,340.52,314.66,,301.72,293.1,"CINTA DE ALUMINIO IDELTAPE 488 3"""
1653,CINTA ESPUMA COLDTECK METRO,20,0,,0,0,17.24,0,,0,0,CINTA ESPUMA COLDTECK METRO
7503026204740,CINTA ESPUMA COLDTEK 9.14M,140,115,,110,100,120.69,99.14,,94.83,86.21,CINTA ESPUMA COLDTEK 9.14M
151,CINTA GRIS 40MM,110,90,43.76,80.01,69.99,94.83,77.59,37.72,68.97,60.34,CINTA GRIS 40MM
7501206695364,CINTA TEFLON SELLA ROSCAS 1/2,10,10,,0,0,8.62,8.62,,0,0,CINTA TEFLON SELLA ROSCAS 1/2
7506240602569,CINTA TEFLON TRUPPER 7 M,16,16,0,16,16,13.79,13.79,0,13.79,13.79,CINTA TEFLON TRUPPER 7 M
7501206641729,CINTA TRANSPARENTE 150M/.050MM,60,55,,,,51.72,47.41,,,,CINTA TRANSPARENTE 150M/.050MM
54007150251,CINTA VULCANIZABLE 3M SUPER 23,290,290,,0,0,250,250,,0,0,CINTA VULCANIZABLE 3M SUPER 23
7501206658680,CLAVIJA REF. CON TIERRA 110V,25,0,,0,0,21.55,0,,0,0,CLAVIJA REF. CON TIERRA 110V
7501206658659,CLAVIJA REF. SIN TIERRA 110V,20,20,0,20,20,17.24,17.24,0,17.24,17.24,CLAVIJA REF. SIN TIERRA 110V
7501206658512,CLAVIJA TIPO CHINO 220V,20.99,0,,0,0,18.09,0,,0,0,CLAVIJA TIPO CHINO 220V
307,CODO PVC 1/2,5,0,,0,0,4.31,0,,0,0,CODO PVC 1/2
7501206655405,"CONECTOR ""Y"" DE ALUMINIO TRUPER 3/4",90,80,54.62,80,75,77.59,68.97,47.09,68.97,64.66,"CONECTOR ""Y"" DE ALUMINIO TRUPER 3/4"
7501206655412,"CONECTOR ""Y"" PLASTICO PRETUL",30,30,0,30,30,25.86,25.86,0,25.86,25.86,"CONECTOR ""Y"" PLASTICO PRETUL"
2128,"CONECTOR RAPIDO 1/4 ""T""",40,30,25,30,25,34.48,25.86,21.55,25.86,21.55,"CONECTOR RAPIDO 1/4 ""T"""
2127,CONECTOR RAPIDO 1/4 CODO,40,30,20,30,25,34.48,25.86,17.24,25.86,21.55,CONECTOR RAPIDO 1/4 CODO
2130,CONECTOR RAPIDO 5/16 - 5/16,40,30,10.6,25,20,34.48,25.86,9.14,21.55,17.24,CONECTOR RAPIDO 5/16 - 5/16
2131,"CONECTOR RAPIDO 5/16 ""T""",40,30,12.7,25,20,34.48,25.86,10.95,21.55,17.24,"CONECTOR RAPIDO 5/16 ""T"""
7501206652602,CONECTOR RAPIDO GRIFO-MANGUERA,50,50,45,50,50,43.1,43.1,38.79,43.1,43.1,CONECTOR RAPIDO GRIFO-MANGUERA
826,CONECTOR RAPIDO HEMBRA,15,0,,0,0,12.93,0,,0,0,CONECTOR RAPIDO HEMBRA
2129,CONECTOR REDUCCION 1/4 - 5/16 RECTO,45,35,13.42,30,25,38.79,30.17,11.57,25.86,21.55,CONECTOR REDUCCION 1/4 - 5/16 RECTO
7501206658673,CONTACTO REF. SIN TIERRA,22.99,0,,0,0,19.82,0,,0,0,CONTACTO REF. SIN TIERRA
7503033971581,COPLE RAPIDO ANGULADO AZUL DE BAJA PRESION,240,235,143.72,220,210,206.9,202.59,123.9,189.66,181.03,COPLE RAPIDO ANGULADO AZUL DE BAJA PRESION
866,CUBRE BOCAS AZUL,10,0,,0,0,8.62,0,,0,0,CUBRE BOCAS AZUL
7501206641194,CUTTER 6 PRETUL,18,0,,0,0,15.52,0,,0,0,CUTTER 6 PRETUL
1421,DADO MAGNETICO HEXAGONAL TRUPER 1/4,20,20,8.2,20,15,17.24,17.24,7.07,17.24,12.93,DADO MAGNETICO HEXAGONAL TRUPER 1/4
7506240673002,DADO MAGNETICO HEXAGONAL TRUPER 3/8,18,14.93,,0,0,15.52,12.87,,0,0,DADO MAGNETICO HEXAGONAL TRUPER 3/8
1420,DADO MAGNETICO HEXAGONAL TRUPER 5/16,25,20,0,20,20,21.55,17.24,0,17.24,17.24,DADO MAGNETICO HEXAGONAL TRUPER 5/16
12,"DESARMADOR CRUZ 1/4 X 12"" PRETUL 7.5062406806e+",80,0,,0,0,68.97,0,,0,0,"DESARMADOR CRUZ 1/4 X 12"" PRETUL 7.5062406806E+"
7506240661825,"DESARMADOR DE CAJA 1/4""",70,65,40.96,65,60,60.34,56.03,35.31,56.03,51.72,"DESARMADOR DE CAJA 1/4"""
7506240661832,"DESARMADOR DE CAJA 5/16""",70,65,40.96,65,60,60.34,56.03,35.31,56.03,51.72,"DESARMADOR DE CAJA 5/16"""
7501206664261,DESARMADOR ESTRELLA PUNTA PHILIPS 3/16X6 PRETUL,50,40,,0,0,43.1,34.48,,0,0,DESARMADOR ESTRELLA PUNTA PHILIPS 3/16X6 PRETUL
7501206664131,"DESARMADOR PALETA 1/4X4"" PRETUL",50,40,25.2,40,35,43.1,34.48,21.72,34.48,30.17,"DESARMADOR PALETA 1/4X4"" PRETUL"
7501206664117,DESARMADOR PALETA PUNTA PHILIPS 3/16X6 PRETUL,50,40,,0,0,43.1,34.48,,0,0,DESARMADOR PALETA PUNTA PHILIPS 3/16X6 PRETUL
7501206664148,"DESARMADOR PHILL. 1/4X4"" PRETUL",50,50,33.62,50,45,43.1,43.1,28.98,43.1,38.79,"DESARMADOR PHILL. 1/4X4"" PRETUL"
7501206617922,DESARMADOR PUNTA PHILIPS #2 TRUPPER,80,70,45.16,70,65,68.97,60.34,38.93,60.34,56.03,DESARMADOR PUNTA PHILIPS #2 TRUPPER
7501206664070,DESARMADOR PUNTA PHILLIPS #2,65,50,,0,0,56.03,43.1,,0,0,DESARMADOR PUNTA PHILLIPS #2
7501206641781,DESARMADOR SCREWDRIVE TRUPER 6 EN 1,150,130,72.46,120,110,129.31,112.07,62.47,103.45,94.83,DESARMADOR SCREWDRIVE TRUPER 6 EN 1
810022392386,DESATORNILLADOR DE IMPACTO HART 20V,1700,0,,0,0,1465.52,0,,0,0,DESATORNILLADOR DE IMPACTO HART 20V
1414,DESENGRASANTE 1 LT,40,0,,0,0,34.48,0,,0,0,DESENGRASANTE 1 LT
7503003799221,DESENGRASANTE BLANCO FOAM CLEANER 1 GAL.,240,190,122.58,175,175,206.9,163.79,105.67,150.86,150.86,DESENGRASANTE BLANCO FOAM CLEANER 1 GAL.
7503003799214,DESENGRASANTE BLANCO FOAM CLEANER 1 LT,95,80,52.56,80,75,81.9,68.97,45.31,68.97,64.66,DESENGRASANTE BLANCO FOAM CLEANER 1 LT
037103575821,DESTORNILLADOR 6 EN 1 GB,110,85,47.51,75,65,94.83,73.28,40.96,64.66,56.03,DESTORNILLADOR 6 EN 1 GB
037103576019,DESTORNILLADOR DE MATRACA CON BISADRA 10 PUNTAS GB,320,280,170.53,260,240,275.86,241.38,147.01,224.14,206.9,DESTORNILLADOR DE MATRACA CON BISADRA 10 PUNTAS GB
2008,DIODO RECTIFICADOR PARA MICROONDAS,45,35,20.77,35,30,38.79,30.17,17.91,30.17,25.86,DIODO RECTIFICADOR PARA MICROONDAS
7502224730785,"DISCO DE CORTE 4.5"" PARA METAL MARAGA",25,20,,15,10,21.55,17.24,,12.93,8.62,"DISCO DE CORTE 4.5"" PARA METAL MARAGA"
7506240623885,"DISCO PARA CORTAR METAL 14"" PRETUL",85,,,,,73.28,,,,,"DISCO PARA CORTAR METAL 14"" PRETUL"
024721151308,DISCO PARA MADERA 7 1/4,150,130.8,,0,0,129.31,112.76,,0,0,DISCO PARA MADERA 7 1/4
BS45,"DISCO SEGMENTADO 4.5"" BRONCE",190,175,,0,0,163.79,150.86,,0,0,"DISCO SEGMENTADO 4.5"" BRONCE"
885911576963,DOBLADOR DE LAMINA LENOX,300,0,,0,0,258.62,0,,0,0,DOBLADOR DE LAMINA LENOX
2242,DOBLADOR DE TUBOS 180� 3/16-3/8 GB,320,270,160.78,250,230,275.86,232.76,138.6,215.52,198.28,DOBLADOR DE TUBOS 180� 3/16-3/8 GB
